Ticker,Earnings Date,Buy Date,Sell Date,Buy Price,Sell Price,Return (%)
MPWR,2024-10-30,2024-10-25,2024-10-31,"Ticker
MPWR    897.004028
Name: 2024-10-25 00:00:00, dtype: float64","Ticker
MPWR    755.689331
Name: 2024-10-31 00:00:00, dtype: float64","Ticker
MPWR   -15.754076
dtype: float64"
MPWR,2024-08-01,2024-07-27,2024-08-02,"Ticker
MPWR    816.766968
Name: 2024-07-26 00:00:00, dtype: float64","Ticker
MPWR    790.90564
Name: 2024-08-02 00:00:00, dtype: float64","Ticker
MPWR   -3.166304
dtype: float64"
MPWR,2024-05-01,2024-04-26,2024-05-02,"Ticker
MPWR    672.060913
Name: 2024-04-26 00:00:00, dtype: float64","Ticker
MPWR    707.448792
Name: 2024-05-02 00:00:00, dtype: float64","Ticker
MPWR    5.265576
dtype: float64"
MPWR,2024-02-07,2024-02-02,2024-02-08,"Ticker
MPWR    629.823181
Name: 2024-02-02 00:00:00, dtype: float64","Ticker
MPWR    730.072327
Name: 2024-02-08 00:00:00, dtype: float64","Ticker
MPWR    15.91703
dtype: float64"
MPWR,2023-10-30,2023-10-25,2023-10-31,"Ticker
MPWR    395.31308
Name: 2023-10-25 00:00:00, dtype: float64","Ticker
MPWR    436.858795
Name: 2023-10-31 00:00:00, dtype: float64","Ticker
MPWR    10.509573
dtype: float64"
MPWR,2023-07-31,2023-07-26,2023-08-01,"Ticker
MPWR    521.771362
Name: 2023-07-26 00:00:00, dtype: float64","Ticker
MPWR    542.97583
Name: 2023-08-01 00:00:00, dtype: float64","Ticker
MPWR    4.063939
dtype: float64"
MPWR,2023-05-04,2023-04-29,2023-05-05,"Ticker
MPWR    454.96521
Name: 2023-04-28 00:00:00, dtype: float64","Ticker
MPWR    405.033966
Name: 2023-05-05 00:00:00, dtype: float64","Ticker
MPWR   -10.974739
dtype: float64"
MPWR,2023-02-08,2023-02-03,2023-02-09,"Ticker
MPWR    448.46579
Name: 2023-02-03 00:00:00, dtype: float64","Ticker
MPWR    501.666382
Name: 2023-02-09 00:00:00, dtype: float64","Ticker
MPWR    11.862798
dtype: float64"
MPWR,2022-10-27,2022-10-22,2022-10-28,"Ticker
MPWR    326.394653
Name: 2022-10-21 00:00:00, dtype: float64","Ticker
MPWR    340.094543
Name: 2022-10-28 00:00:00, dtype: float64","Ticker
MPWR    4.197339
dtype: float64"
MPWR,2022-08-01,2022-07-27,2022-08-02,"Ticker
MPWR    441.415131
Name: 2022-07-27 00:00:00, dtype: float64","Ticker
MPWR    494.961212
Name: 2022-08-02 00:00:00, dtype: float64","Ticker
MPWR    12.13055
dtype: float64"
MPWR,2022-05-02,2022-04-27,2022-05-03,"Ticker
MPWR    383.30719
Name: 2022-04-27 00:00:00, dtype: float64","Ticker
MPWR    446.901947
Name: 2022-05-03 00:00:00, dtype: float64","Ticker
MPWR    16.591068
dtype: float64"
MPWR,2022-02-10,2022-02-05,2022-02-11,"Ticker
MPWR    390.295868
Name: 2022-02-04 00:00:00, dtype: float64","Ticker
MPWR    413.872437
Name: 2022-02-11 00:00:00, dtype: float64","Ticker
MPWR    6.040691
dtype: float64"
MPWR,2021-10-28,2021-10-23,2021-10-29,"Ticker
MPWR    497.804596
Name: 2021-10-22 00:00:00, dtype: float64","Ticker
MPWR    511.941345
Name: 2021-10-29 00:00:00, dtype: float64","Ticker
MPWR    2.839819
dtype: float64"
MPWR,2021-07-27,2021-07-22,2021-07-28,"Ticker
MPWR    394.097412
Name: 2021-07-22 00:00:00, dtype: float64","Ticker
MPWR    419.397461
Name: 2021-07-28 00:00:00, dtype: float64","Ticker
MPWR    6.419745
dtype: float64"
MSFT,2025-04-30,2025-04-25,2025-05-01,"Ticker
MSFT    391.131958
Name: 2025-04-25 00:00:00, dtype: float64","Ticker
MSFT    424.620453
Name: 2025-05-01 00:00:00, dtype: float64","Ticker
MSFT    8.561943
dtype: float64"
MSFT,2025-01-29,2025-01-24,2025-01-30,"Ticker
MSFT    442.359283
Name: 2025-01-24 00:00:00, dtype: float64","Ticker
MSFT    413.400604
Name: 2025-01-30 00:00:00, dtype: float64","Ticker
MSFT   -6.546416
dtype: float64"
MSFT,2024-10-30,2024-10-25,2024-10-31,"Ticker
MSFT    425.658203
Name: 2024-10-25 00:00:00, dtype: float64","Ticker
MSFT    403.985077
Name: 2024-10-31 00:00:00, dtype: float64","Ticker
MSFT   -5.091674
dtype: float64"
MSFT,2024-07-30,2024-07-25,2024-07-31,"Ticker
MSFT    415.216553
Name: 2024-07-25 00:00:00, dtype: float64","Ticker
MSFT    415.166962
Name: 2024-07-31 00:00:00, dtype: float64","Ticker
MSFT   -0.011943
dtype: float64"
MSFT,2024-04-25,2024-04-20,2024-04-26,"Ticker
MSFT    395.370117
Name: 2024-04-19 00:00:00, dtype: float64","Ticker
MSFT    402.502502
Name: 2024-04-26 00:00:00, dtype: float64","Ticker
MSFT    1.803977
dtype: float64"
MSFT,2024-01-30,2024-01-25,2024-01-31,"Ticker
MSFT    400.325836
Name: 2024-01-25 00:00:00, dtype: float64","Ticker
MSFT    393.117584
Name: 2024-01-31 00:00:00, dtype: float64","Ticker
MSFT   -1.800596
dtype: float64"
MSFT,2023-10-24,2023-10-19,2023-10-25,"Ticker
MSFT    326.937714
Name: 2023-10-19 00:00:00, dtype: float64","Ticker
MSFT    336.164062
Name: 2023-10-25 00:00:00, dtype: float64","Ticker
MSFT    2.822051
dtype: float64"
MSFT,2023-07-25,2023-07-20,2023-07-26,"Ticker
MSFT    341.558899
Name: 2023-07-20 00:00:00, dtype: float64","Ticker
MSFT    332.598206
Name: 2023-07-26 00:00:00, dtype: float64","Ticker
MSFT   -2.623469
dtype: float64"
MSFT,2023-04-25,2023-04-20,2023-04-26,"Ticker
MSFT    281.114716
Name: 2023-04-20 00:00:00, dtype: float64","Ticker
MSFT    290.213013
Name: 2023-04-26 00:00:00, dtype: float64","Ticker
MSFT    3.236507
dtype: float64"
MSFT,2023-01-24,2023-01-19,2023-01-25,"Ticker
MSFT    227.311279
Name: 2023-01-19 00:00:00, dtype: float64","Ticker
MSFT    235.818466
Name: 2023-01-25 00:00:00, dtype: float64","Ticker
MSFT    3.742527
dtype: float64"
MSFT,2022-10-25,2022-10-20,2022-10-26,"Ticker
MSFT    230.796829
Name: 2022-10-20 00:00:00, dtype: float64","Ticker
MSFT    226.076324
Name: 2022-10-26 00:00:00, dtype: float64","Ticker
MSFT   -2.045307
dtype: float64"
MSFT,2022-07-26,2022-07-21,2022-07-27,"Ticker
MSFT    258.288239
Name: 2022-07-21 00:00:00, dtype: float64","Ticker
MSFT    262.091766
Name: 2022-07-27 00:00:00, dtype: float64","Ticker
MSFT    1.47259
dtype: float64"
MSFT,2022-04-26,2022-04-21,2022-04-27,"Ticker
MSFT    273.226715
Name: 2022-04-21 00:00:00, dtype: float64","Ticker
MSFT    275.571747
Name: 2022-04-27 00:00:00, dtype: float64","Ticker
MSFT    0.858273
dtype: float64"
MSFT,2022-01-25,2022-01-20,2022-01-26,"Ticker
MSFT    292.849854
Name: 2022-01-20 00:00:00, dtype: float64","Ticker
MSFT    288.101715
Name: 2022-01-26 00:00:00, dtype: float64","Ticker
MSFT   -1.621356
dtype: float64"
MSFT,2021-10-26,2021-10-21,2021-10-27,"Ticker
MSFT    301.192963
Name: 2021-10-21 00:00:00, dtype: float64","Ticker
MSFT    313.221008
Name: 2021-10-27 00:00:00, dtype: float64","Ticker
MSFT    3.993468
dtype: float64"
MSFT,2021-07-27,2021-07-22,2021-07-28,"Ticker
MSFT    276.801086
Name: 2021-07-22 00:00:00, dtype: float64","Ticker
MSFT    276.878448
Name: 2021-07-28 00:00:00, dtype: float64","Ticker
MSFT    0.027949
dtype: float64"
NVDA,2025-02-26,2025-02-21,2025-02-27,"Ticker
NVDA    134.417633
Name: 2025-02-21 00:00:00, dtype: float64","Ticker
NVDA    120.138954
Name: 2025-02-27 00:00:00, dtype: float64","Ticker
NVDA   -10.622623
dtype: float64"
NVDA,2024-11-20,2024-11-15,2024-11-21,"Ticker
NVDA    141.957153
Name: 2024-11-15 00:00:00, dtype: float64","Ticker
NVDA    146.646408
Name: 2024-11-21 00:00:00, dtype: float64","Ticker
NVDA    3.303289
dtype: float64"
NVDA,2024-08-28,2024-08-23,2024-08-29,"Ticker
NVDA    129.33812
Name: 2024-08-23 00:00:00, dtype: float64","Ticker
NVDA    117.561028
Name: 2024-08-29 00:00:00, dtype: float64","Ticker
NVDA   -9.105662
dtype: float64"
NVDA,2024-05-22,2024-05-17,2024-05-23,"Ticker
NVDA    92.448608
Name: 2024-05-17 00:00:00, dtype: float64","Ticker
NVDA    103.764908
Name: 2024-05-23 00:00:00, dtype: float64","Ticker
NVDA    12.240638
dtype: float64"
NVDA,2024-02-21,2024-02-16,2024-02-22,"Ticker
NVDA    72.585739
Name: 2024-02-16 00:00:00, dtype: float64","Ticker
NVDA    78.508514
Name: 2024-02-22 00:00:00, dtype: float64","Ticker
NVDA    8.159695
dtype: float64"
NVDA,2023-11-21,2023-11-16,2023-11-22,"Ticker
NVDA    49.457081
Name: 2023-11-16 00:00:00, dtype: float64","Ticker
NVDA    48.693428
Name: 2023-11-22 00:00:00, dtype: float64","Ticker
NVDA   -1.544072
dtype: float64"
NVDA,2023-08-23,2023-08-18,2023-08-24,"Ticker
NVDA    43.275372
Name: 2023-08-18 00:00:00, dtype: float64","Ticker
NVDA    47.137264
Name: 2023-08-24 00:00:00, dtype: float64","Ticker
NVDA    8.923997
dtype: float64"
NVDA,2023-05-24,2023-05-19,2023-05-25,"Ticker
NVDA    31.24371
Name: 2023-05-19 00:00:00, dtype: float64","Ticker
NVDA    37.955349
Name: 2023-05-25 00:00:00, dtype: float64","Ticker
NVDA    21.48157
dtype: float64"
NVDA,2023-02-22,2023-02-17,2023-02-23,"Ticker
NVDA    21.370487
Name: 2023-02-17 00:00:00, dtype: float64","Ticker
NVDA    23.644623
Name: 2023-02-23 00:00:00, dtype: float64","Ticker
NVDA    10.641478
dtype: float64"
NVDA,2022-11-16,2022-11-11,2022-11-17,"Ticker
NVDA    16.30946
Name: 2022-11-11 00:00:00, dtype: float64","Ticker
NVDA    15.660158
Name: 2022-11-17 00:00:00, dtype: float64","Ticker
NVDA   -3.981135
dtype: float64"
NVDA,2022-08-24,2022-08-19,2022-08-25,"Ticker
NVDA    17.824532
Name: 2022-08-19 00:00:00, dtype: float64","Ticker
NVDA    17.888441
Name: 2022-08-25 00:00:00, dtype: float64","Ticker
NVDA    0.358548
dtype: float64"
NVDA,2022-05-25,2022-05-20,2022-05-26,"Ticker
NVDA    16.667587
Name: 2022-05-20 00:00:00, dtype: float64","Ticker
NVDA    17.822758
Name: 2022-05-26 00:00:00, dtype: float64","Ticker
NVDA    6.93064
dtype: float64"
NVDA,2022-02-16,2022-02-11,2022-02-17,"Ticker
NVDA    23.907038
Name: 2022-02-11 00:00:00, dtype: float64","Ticker
NVDA    24.464062
Name: 2022-02-17 00:00:00, dtype: float64","Ticker
NVDA    2.329958
dtype: float64"
NVDA,2021-11-17,2021-11-12,2021-11-18,"Ticker
NVDA    30.333035
Name: 2021-11-12 00:00:00, dtype: float64","Ticker
NVDA    31.615627
Name: 2021-11-18 00:00:00, dtype: float64","Ticker
NVDA    4.228369
dtype: float64"
NVDA,2021-08-18,2021-08-13,2021-08-19,"Ticker
NVDA    20.146605
Name: 2021-08-13 00:00:00, dtype: float64","Ticker
NVDA    19.757406
Name: 2021-08-19 00:00:00, dtype: float64","Ticker
NVDA   -1.931831
dtype: float64"
NVT,2025-05-02,2025-04-27,2025-05-03,"Ticker
NVT    54.799999
Name: 2025-04-25 00:00:00, dtype: float64","Ticker
NVT    59.619999
Name: 2025-05-02 00:00:00, dtype: float64","Ticker
NVT    8.79562
dtype: float64"
NVT,2025-02-06,2025-02-01,2025-02-07,"Ticker
NVT    64.851791
Name: 2025-01-31 00:00:00, dtype: float64","Ticker
NVT    67.631577
Name: 2025-02-07 00:00:00, dtype: float64","Ticker
NVT    4.286366
dtype: float64"
NVT,2024-11-05,2024-10-31,2024-11-06,"Ticker
NVT    74.089012
Name: 2024-10-31 00:00:00, dtype: float64","Ticker
NVT    76.572891
Name: 2024-11-06 00:00:00, dtype: float64","Ticker
NVT    3.352561
dtype: float64"
NVT,2024-08-06,2024-08-01,2024-08-07,"Ticker
NVT    68.819855
Name: 2024-08-01 00:00:00, dtype: float64","Ticker
NVT    60.177727
Name: 2024-08-07 00:00:00, dtype: float64","Ticker
NVT   -12.557609
dtype: float64"
NVT,2024-05-03,2024-04-28,2024-05-04,"Ticker
NVT    74.822411
Name: 2024-04-26 00:00:00, dtype: float64","Ticker
NVT    75.020119
Name: 2024-05-03 00:00:00, dtype: float64","Ticker
NVT    0.264237
dtype: float64"
NVT,2024-02-06,2024-02-01,2024-02-07,"Ticker
NVT    61.624363
Name: 2024-02-01 00:00:00, dtype: float64","Ticker
NVT    63.073772
Name: 2024-02-07 00:00:00, dtype: float64","Ticker
NVT    2.352007
dtype: float64"
NVT,2023-10-27,2023-10-22,2023-10-28,"Ticker
NVT    46.557076
Name: 2023-10-20 00:00:00, dtype: float64","Ticker
NVT    45.08313
Name: 2023-10-27 00:00:00, dtype: float64","Ticker
NVT   -3.16589
dtype: float64"
NVT,2023-07-28,2023-07-23,2023-07-29,"Ticker
NVT    52.247162
Name: 2023-07-21 00:00:00, dtype: float64","Ticker
NVT    52.100285
Name: 2023-07-28 00:00:00, dtype: float64","Ticker
NVT   -0.28112
dtype: float64"
NVT,2023-02-07,2023-02-02,2023-02-08,"Ticker
NVT    38.26759
Name: 2023-02-02 00:00:00, dtype: float64","Ticker
NVT    43.438618
Name: 2023-02-08 00:00:00, dtype: float64","Ticker
NVT    13.512814
dtype: float64"
NVT,2022-10-28,2022-10-23,2022-10-29,"Ticker
NVT    32.10709
Name: 2022-10-21 00:00:00, dtype: float64","Ticker
NVT    35.406818
Name: 2022-10-28 00:00:00, dtype: float64","Ticker
NVT    10.277258
dtype: float64"
NVT,2022-07-29,2022-07-24,2022-07-30,"Ticker
NVT    31.541929
Name: 2022-07-22 00:00:00, dtype: float64","Ticker
NVT    33.98674
Name: 2022-07-29 00:00:00, dtype: float64","Ticker
NVT    7.750987
dtype: float64"
NVT,2022-04-29,2022-04-24,2022-04-30,"Ticker
NVT    33.458755
Name: 2022-04-22 00:00:00, dtype: float64","Ticker
NVT    32.338676
Name: 2022-04-29 00:00:00, dtype: float64","Ticker
NVT   -3.347641
dtype: float64"
NVT,2022-02-08,2022-02-03,2022-02-09,"Ticker
NVT    32.803257
Name: 2022-02-03 00:00:00, dtype: float64","Ticker
NVT    34.156162
Name: 2022-02-09 00:00:00, dtype: float64","Ticker
NVT    4.124302
dtype: float64"
NVT,2021-10-28,2021-10-23,2021-10-29,"Ticker
NVT    31.506088
Name: 2021-10-22 00:00:00, dtype: float64","Ticker
NVT    33.61092
Name: 2021-10-29 00:00:00, dtype: float64","Ticker
NVT    6.680714
dtype: float64"
NVT,2021-08-03,2021-07-29,2021-08-04,"Ticker
NVT    29.78194
Name: 2021-07-29 00:00:00, dtype: float64","Ticker
NVT    31.36628
Name: 2021-08-04 00:00:00, dtype: float64","Ticker
NVT    5.319798
dtype: float64"
NVT,2021-04-29,2021-04-24,2021-04-30,"Ticker
NVT    28.148909
Name: 2021-04-23 00:00:00, dtype: float64","Ticker
NVT    28.552109
Name: 2021-04-30 00:00:00, dtype: float64","Ticker
NVT    1.432383
dtype: float64"
NVT,2021-02-09,2021-02-04,2021-02-10,"Ticker
NVT    21.952011
Name: 2021-02-04 00:00:00, dtype: float64","Ticker
NVT    21.392727
Name: 2021-02-10 00:00:00, dtype: float64","Ticker
NVT   -2.547758
dtype: float64"
ORCL,2025-03-10,2025-03-05,2025-03-11,"Ticker
ORCL    160.98172
Name: 2025-03-05 00:00:00, dtype: float64","Ticker
ORCL    143.663925
Name: 2025-03-11 00:00:00, dtype: float64","Ticker
ORCL   -10.757616
dtype: float64"
ORCL,2024-12-09,2024-12-04,2024-12-10,"Ticker
ORCL    187.056625
Name: 2024-12-04 00:00:00, dtype: float64","Ticker
ORCL    176.669556
Name: 2024-12-10 00:00:00, dtype: float64","Ticker
ORCL   -5.552901
dtype: float64"
ORCL,2024-09-09,2024-09-04,2024-09-10,"Ticker
ORCL    139.588455
Name: 2024-09-04 00:00:00, dtype: float64","Ticker
ORCL    154.603516
Name: 2024-09-10 00:00:00, dtype: float64","Ticker
ORCL    10.756664
dtype: float64"
ORCL,2024-06-11,2024-06-06,2024-06-12,"Ticker
ORCL    122.135971
Name: 2024-06-06 00:00:00, dtype: float64","Ticker
ORCL    138.829529
Name: 2024-06-12 00:00:00, dtype: float64","Ticker
ORCL    13.668011
dtype: float64"
ORCL,2024-03-11,2024-03-06,2024-03-12,"Ticker
ORCL    110.672844
Name: 2024-03-06 00:00:00, dtype: float64","Ticker
ORCL    125.725616
Name: 2024-03-12 00:00:00, dtype: float64","Ticker
ORCL    13.601144
dtype: float64"
ORCL,2023-12-11,2023-12-06,2023-12-12,"Ticker
ORCL    110.009987
Name: 2023-12-06 00:00:00, dtype: float64","Ticker
ORCL    98.992302
Name: 2023-12-12 00:00:00, dtype: float64","Ticker
ORCL   -10.015168
dtype: float64"
ORCL,2023-09-11,2023-09-06,2023-09-12,"Ticker
ORCL    121.643089
Name: 2023-09-06 00:00:00, dtype: float64","Ticker
ORCL    107.241196
Name: 2023-09-12 00:00:00, dtype: float64","Ticker
ORCL   -11.839467
dtype: float64"
ORCL,2023-06-12,2023-06-07,2023-06-13,"Ticker
ORCL    102.615303
Name: 2023-06-07 00:00:00, dtype: float64","Ticker
ORCL    113.759186
Name: 2023-06-13 00:00:00, dtype: float64","Ticker
ORCL    10.859864
dtype: float64"
ORCL,2023-03-09,2023-03-04,2023-03-10,"Ticker
ORCL    86.652962
Name: 2023-03-03 00:00:00, dtype: float64","Ticker
ORCL    81.623688
Name: 2023-03-10 00:00:00, dtype: float64","Ticker
ORCL   -5.803926
dtype: float64"
ORCL,2022-12-12,2022-12-07,2022-12-13,"Ticker
ORCL    76.201881
Name: 2022-12-07 00:00:00, dtype: float64","Ticker
ORCL    77.923645
Name: 2022-12-13 00:00:00, dtype: float64","Ticker
ORCL    2.259477
dtype: float64"
ORCL,2022-09-12,2022-09-07,2022-09-13,"Ticker
ORCL    71.6838
Name: 2022-09-07 00:00:00, dtype: float64","Ticker
ORCL    73.175407
Name: 2022-09-13 00:00:00, dtype: float64","Ticker
ORCL    2.080816
dtype: float64"
ORCL,2022-06-13,2022-06-08,2022-06-14,"Ticker
ORCL    68.385109
Name: 2022-06-08 00:00:00, dtype: float64","Ticker
ORCL    67.752792
Name: 2022-06-14 00:00:00, dtype: float64","Ticker
ORCL   -0.924641
dtype: float64"
ORCL,2022-03-10,2022-03-05,2022-03-11,"Ticker
ORCL    72.995125
Name: 2022-03-04 00:00:00, dtype: float64","Ticker
ORCL    74.264374
Name: 2022-03-11 00:00:00, dtype: float64","Ticker
ORCL    1.738813
dtype: float64"
ORCL,2021-12-09,2021-12-04,2021-12-10,"Ticker
ORCL    83.896622
Name: 2021-12-03 00:00:00, dtype: float64","Ticker
ORCL    97.578316
Name: 2021-12-10 00:00:00, dtype: float64","Ticker
ORCL    16.307801
dtype: float64"
ORCL,2021-09-13,2021-09-08,2021-09-14,"Ticker
ORCL    84.771179
Name: 2021-09-08 00:00:00, dtype: float64","Ticker
ORCL    81.852943
Name: 2021-09-14 00:00:00, dtype: float64","Ticker
ORCL   -3.442486
dtype: float64"
ORCL,2021-06-15,2021-06-10,2021-06-16,"Ticker
ORCL    77.691177
Name: 2021-06-10 00:00:00, dtype: float64","Ticker
ORCL    72.763481
Name: 2021-06-16 00:00:00, dtype: float64","Ticker
ORCL   -6.342672
dtype: float64"
PANW,2025-05-20,2025-05-15,2025-05-21,"Ticker
PANW    192.899994
Name: 2025-05-15 00:00:00, dtype: float64","Ticker
PANW    181.259995
Name: 2025-05-21 00:00:00, dtype: float64","Ticker
PANW   -6.034214
dtype: float64"
PANW,2025-02-13,2025-02-08,2025-02-14,"Ticker
PANW    193.940002
Name: 2025-02-07 00:00:00, dtype: float64","Ticker
PANW    200.029999
Name: 2025-02-14 00:00:00, dtype: float64","Ticker
PANW    3.140145
dtype: float64"
PANW,2024-11-20,2024-11-15,2024-11-21,"Ticker
PANW    193.5
Name: 2024-11-15 00:00:00, dtype: float64","Ticker
PANW    198.850006
Name: 2024-11-21 00:00:00, dtype: float64","Ticker
PANW    2.764861
dtype: float64"
PANW,2024-08-19,2024-08-14,2024-08-20,"Ticker
PANW    169.955002
Name: 2024-08-14 00:00:00, dtype: float64","Ticker
PANW    184.005005
Name: 2024-08-20 00:00:00, dtype: float64","Ticker
PANW    8.266896
dtype: float64"
